Date, Open, High, Low, Close, Volume
05/15/17, 219.88, 220.72, 219.83, 220.52, 1441038
05/12/17, 219.50, 219.60, 219.12, 219.41, 1056500
05/11/17, 219.74, 219.93, 218.62, 219.75, 1855740
05/10/17, 219.76, 220.22, 219.55, 220.20, 1067300
05/09/17, 220.29, 220.4857, 219.44, 219.79, 1637189
05/08/17, 220.13, 220.25, 219.57, 220.07, 2225028
05/05/17, 219.56, 220.06, 219.12, 220.06, 1729796
05/04/17, 219.27, 219.35, 218.3098, 219.18, 1439117
05/03/17, 218.78, 219.17, 218.24, 218.98, 1654565
05/02/17, 219.29, 219.38, 218.77, 219.20, 2573012
05/01/17, 219.16, 219.5729, 218.65, 219.13, 1506653
04/28/17, 219.33, 219.3399, 218.43, 218.60, 1257631
04/27/17, 219.20, 219.3567, 218.47, 219.02, 1154178
04/26/17, 218.96, 219.8979, 218.81, 218.85, 2824460
04/25/17, 218.41, 219.36, 218.29, 219.01, 1745507
04/24/17, 217.75, 217.95, 217.2299, 217.70, 2366350
04/21/17, 215.97, 216.02, 214.93, 215.40, 2594355
04/20/17, 214.98, 216.50, 214.62, 216.03, 2734329
04/19/17, 215.31, 215.70, 214.06, 214.28, 2032384
04/18/17, 214.55, 215.24, 213.9775, 214.75, 2696140
04/17/17, 214.00, 215.35, 213.80, 215.34, 1746903
04/13/17, 214.50, 215.24, 213.47, 213.47, 1806823
04/12/17, 215.49, 215.6899, 214.62, 214.90, 2002741
04/11/17, 215.63, 215.88, 214.25, 215.79, 1787316
04/10/17, 216.06, 216.88, 215.50, 216.06, 1311885
04/07/17, 215.86, 216.64, 215.40, 215.91, 1835945
